,establecimiento,Provincia,Sector,Ámbito,Matricula__12_total,Matricula__13y14_total,matricula_5to_6to,bajo,medio,alto,NSE,%_bajo,%_medio,%_alto,total_censados,isocioa_puntaje,tasa_no_respuesta
483,507210012193055,Córdoba,Privado,Urbano,97.0,,97.0,1.0,43.0,41.0,medio,0.011764705882352941,0.5058823529411764,0.4823529411764706,85.0,0.7909040980247707,0.8762886597938144
484,507960014335085,Córdoba,Estatal,Urbano,35.0,30.0,65.0,7.0,19.0,0.0,medio,0.2692307692307692,0.7307692307692307,0.0,26.0,-0.4514342350388134,0.4
485,510720010659765,Córdoba,Privado,Urbano,68.0,,68.0,0.0,31.0,22.0,medio,0.0,0.5849056603773585,0.41509433962264153,53.0,0.8736345365486358,0.7794117647058824
486,510720010667365,Córdoba,Privado,Urbano,155.0,,155.0,2.0,63.0,37.0,medio,0.0196078431372549,0.6176470588235294,0.3627450980392157,102.0,0.7125536958477111,0.6580645161290323
487,511210094114951,Córdoba,Estatal,Urbano,31.0,25.0,56.0,9.0,20.0,0.0,medio,0.3103448275862069,0.6896551724137931,0.0,29.0,-0.6647364660658458,0.5178571428571429
488,513970014475625,Córdoba,Estatal,Urbano,17.0,16.0,33.0,0.0,9.0,1.0,medio,0.0,0.9,0.1,10.0,-0.08004254964589744,0.30303030303030304
489,518000103600051,Córdoba,Privado,Urbano,86.0,,86.0,6.0,67.0,9.0,medio,0.07317073170731707,0.8170731707317073,0.10975609756097561,82.0,0.06529236973249496,0.9534883720930233
490,518000103970051,Córdoba,Estatal,Urbano,69.0,,69.0,2.0,46.0,12.0,medio,0.03333333333333333,0.7666666666666667,0.2,60.0,0.19291954359472324,0.8695652173913043
491,518210010807725,Córdoba,Privado,Urbano,114.0,,114.0,2.0,70.0,38.0,medio,0.01818181818181818,0.6363636363636364,0.34545454545454546,110.0,0.6140280393410784,0.9649122807017544
492,525720010963685,Córdoba,Estatal,Urbano,6.0,5.0,11.0,1.0,3.0,1.0,medio,0.2,0.6,0.2,5.0,-0.4380501686301018,0.45454545454545453
493,526500546819526,Córdoba,Privado,Urbano,40.0,,40.0,0.0,16.0,20.0,alto,0.0,0.4444444444444444,0.5555555555555556,36.0,1.022273449030068,0.9
494,526500547599526,Córdoba,Privado,Urbano,57.0,,57.0,2.0,38.0,15.0,medio,0.03636363636363636,0.6909090909090909,0.2727272727272727,55.0,0.537367726504855,0.9649122807017544
495,527400012631505,Córdoba,Estatal,Urbano,136.0,,136.0,36.0,53.0,10.0,medio,0.36363636363636365,0.5353535353535354,0.10101010101010101,99.0,-0.6657957629912346,0.7279411764705882
496,527400012640505,Córdoba,Privado,Urbano,16.0,,16.0,1.0,11.0,4.0,medio,0.0625,0.6875,0.25,16.0,0.4955455343070008,1.0
497,532100238561532,Córdoba,Privado,Urbano,29.0,,29.0,,,,medio,0.1364636607638483,0.6365553378704201,0.22698100136573227,,0.6328526629960484,
498,533120078618453,Córdoba,Privado,Urbano,96.0,,96.0,0.0,16.0,69.0,alto,0.0,0.18823529411764706,0.8117647058823529,85.0,1.3985220773445401,0.8854166666666666
499,533250011080545,Córdoba,Privado,Urbano,63.0,,63.0,0.0,34.0,24.0,medio,0.0,0.5862068965517241,0.41379310344827586,58.0,0.8282396026881644,0.9206349206349206
500,533250011104245,Córdoba,Estatal,Urbano,14.0,6.0,20.0,4.0,5.0,0.0,medio,0.4444444444444444,0.5555555555555556,0.0,9.0,-0.8622357947761805,0.45
501,536200098119053,Córdoba,Privado,Urbano,51.0,,51.0,1.0,14.0,30.0,alto,0.022222222222222223,0.3111111111111111,0.6666666666666666,45.0,1.1395491442134233,0.8823529411764706
502,540800011244805,Córdoba,Privado,Urbano,29.0,,29.0,,,,medio,0.1364636607638483,0.6365553378704201,0.22698100136573227,,0.6328526629960484,
503,544570099591754,Córdoba,Privado,Urbano,64.0,,64.0,0.0,13.0,45.0,alto,0.0,0.22413793103448276,0.7758620689655172,58.0,1.3513209924519691,0.90625
504,547770013071155,Córdoba,Estatal,Urbano,28.0,,28.0,6.0,16.0,3.0,medio,0.24,0.64,0.12,25.0,-0.5122330594657626,0.8928571428571429
505,548370011369165,Córdoba,Privado,Urbano,59.0,,59.0,3.0,31.0,20.0,medio,0.05555555555555555,0.5740740740740741,0.37037037037037035,54.0,0.6106473227942928,0.9152542372881356
506,548370011377265,Córdoba,Privado,Urbano,38.0,,38.0,1.0,7.0,16.0,alto,0.041666666666666664,0.2916666666666667,0.6666666666666666,24.0,1.2300296209049655,0.631578947368421
507,550400089651255,Córdoba,Estatal,Urbano,70.0,,70.0,8.0,36.0,3.0,medio,0.1702127659574468,0.7659574468085106,0.06382978723404255,47.0,-0.18359619893114404,0.6714285714285714
508,552500350550552,Córdoba,Estatal,Urbano,46.0,,46.0,12.0,22.0,1.0,medio,0.34285714285714286,0.6285714285714286,0.02857142857142857,35.0,-0.6829932688239749,0.7608695652173914
509,552500350800552,Córdoba,Privado,Urbano,54.0,,54.0,3.0,37.0,9.0,medio,0.061224489795918366,0.7551020408163265,0.1836734693877551,49.0,0.25042232883064247,0.9074074074074074
510,552960010099445,Córdoba,Estatal,Urbano,59.0,,59.0,0.0,23.0,33.0,alto,0.0,0.4107142857142857,0.5892857142857143,56.0,1.0068678686029748,0.9491525423728814
511,554600013211705,Córdoba,Estatal,Urbano,41.0,,41.0,8.0,26.0,0.0,medio,0.23529411764705882,0.7647058823529411,0.0,34.0,-0.5905122897551834,0.8292682926829268
512,555960011501325,Córdoba,Privado,Urbano,109.0,,109.0,0.0,27.0,80.0,alto,0.0,0.2523364485981308,0.7476635514018691,107.0,1.2310034363575022,0.981651376146789
513,559650091052055,Córdoba,Privado,Urbano,43.0,,43.0,1.0,18.0,23.0,alto,0.023809523809523808,0.42857142857142855,0.5476190476190477,42.0,0.8187748549996204,0.9767441860465116
514,560121212005601,Córdoba,Privado,Urbano,57.0,26.0,83.0,0.0,41.0,8.0,medio,0.0,0.8367346938775511,0.16326530612244897,49.0,0.35616230453044573,0.5903614457831325
515,560161612005601,Córdoba,Estatal,Urbano,15.0,13.0,28.0,5.0,6.0,0.0,medio,0.45454545454545453,0.5454545454545454,0.0,11.0,-0.5106489812911719,0.39285714285714285
516,560488120056048,Córdoba,Estatal,Urbano,23.0,16.0,39.0,1.0,18.0,1.0,medio,0.05,0.9,0.05,20.0,-0.13433446678691635,0.5128205128205128
517,561123212005611,Córdoba,Estatal,Urbano,154.0,136.0,290.0,8.0,97.0,21.0,medio,0.06349206349206349,0.7698412698412699,0.16666666666666666,126.0,0.12105375592325733,0.43448275862068964
518,561450013314255,Córdoba,Privado,Urbano,60.0,,60.0,2.0,34.0,19.0,medio,0.03636363636363636,0.6181818181818182,0.34545454545454546,55.0,0.4868730330041818,0.9166666666666666
519,561563612005615,Córdoba,Privado,Urbano,16.0,,16.0,5.0,10.0,0.0,medio,0.3333333333333333,0.6666666666666666,0.0,15.0,-0.5238754721608034,0.9375
520,561601200561601,Córdoba,Estatal,Urbano,86.0,84.0,170.0,5.0,56.0,6.0,medio,0.07462686567164178,0.835820895522388,0.08955223880597014,67.0,0.05160678278797764,0.3941176470588235
521,561644120056164,Córdoba,Estatal,Urbano,58.0,28.0,86.0,8.0,35.0,4.0,medio,0.1702127659574468,0.7446808510638298,0.0851063829787234,47.0,-0.24180603313117682,0.5465116279069767
522,561700576091561,Córdoba,Privado,Urbano,26.0,,26.0,0.0,5.0,17.0,alto,0.0,0.22727272727272727,0.7727272727272727,22.0,1.3831708805352638,0.8461538461538461
523,561721212005617,Córdoba,Privado,Urbano,54.0,,54.0,0.0,21.0,31.0,alto,0.0,0.40384615384615385,0.5961538461538461,52.0,1.0649461941665799,0.9629629629629629
524,562100107800056,Córdoba,Privado,Urbano,67.0,,67.0,1.0,47.0,15.0,medio,0.015873015873015872,0.746031746031746,0.23809523809523808,63.0,0.47977718924708734,0.9402985074626866
525,563570011658185,Córdoba,Privado,Urbano,11.0,,11.0,0.0,0.0,11.0,alto,0.0,0.0,1.0,11.0,1.6571161339713472,1.0
526,565200252414565,Córdoba,Privado,Urbano,60.0,,60.0,0.0,33.0,23.0,medio,0.0,0.5892857142857143,0.4107142857142857,56.0,0.7559427351786498,0.9333333333333333
527,565200252594565,Córdoba,Estatal,Urbano,14.0,10.0,24.0,5.0,6.0,0.0,medio,0.45454545454545453,0.5454545454545454,0.0,11.0,-0.9226530892457542,0.4583333333333333
528,571200011790245,Córdoba,Estatal,Urbano,52.0,,52.0,9.0,32.0,4.0,medio,0.2,0.7111111111111111,0.08888888888888889,45.0,-0.2407142328827508,0.8653846153846154
529,572003642605720,Córdoba,Estatal,Urbano,79.0,,79.0,12.0,36.0,1.0,medio,0.24489795918367346,0.7346938775510204,0.02040816326530612,49.0,-0.48098153152190154,0.620253164556962
530,572003647805720,Córdoba,Privado,Urbano,88.0,,88.0,8.0,61.0,15.0,medio,0.09523809523809523,0.7261904761904762,0.17857142857142858,84.0,0.08913979572838174,0.9545454545454546
531,572003653005720,Córdoba,Privado,Urbano,36.0,,36.0,5.0,27.0,1.0,medio,0.15151515151515152,0.8181818181818182,0.030303030303030304,33.0,-0.3265309923493566,0.9166666666666666
532,577200109590057,Córdoba,Estatal,Urbano,61.0,,61.0,3.0,39.0,13.0,medio,0.05454545454545454,0.7090909090909091,0.23636363636363636,55.0,0.18578328971206642,0.9016393442622951
533,579600589302579,Córdoba,Estatal,Urbano,77.0,,77.0,7.0,57.0,7.0,medio,0.09859154929577464,0.8028169014084507,0.09859154929577464,71.0,-0.1773007191051309,0.922077922077922
