ID1,Provincia,Sector,Ámbito,_12,_13y14
102034986001020,Ciudad de Buenos Aires,Estatal,Urbano,,
102068238034010,San Juan,Estatal,Rural,,
102102238034010,San Juan,Estatal,Urbano,,
102136238034010,San Juan,Estatal,Rural,,
102170238034010,San Juan,Estatal,Rural,,
102400011520641,Corrientes,Estatal,Rural,,
102400011527041,Corrientes,Estatal,Rural,,
102400012806410,Ciudad de Buenos Aires,Estatal,Urbano,,
102400012870410,Ciudad de Buenos Aires,Estatal,Urbano,,
102400014080641,Chaco,Estatal,Rural,,
102400014087041,Chaco,Estatal,Urbano,,
102400016640641,Chubut,Estatal,Urbano,69,
102400021767041,Formosa,Privado,Urbano,,
102400024320641,Jujuy,Estatal,Rural,,
102400026880641,La Pampa,Estatal,Urbano,,
102400029440641,La Rioja,Estatal,Urbano,,
102400032000641,Mendoza,Estatal,Urbano,,
102400032013441,Mendoza,Privado,Urbano,,
102400034560641,Misiones,Estatal,Rural,,
102400034567041,Misiones,Estatal,Urbano,,
102400037120641,Neuquén,Privado,Urbano,48,
102400037127041,Neuquén,Estatal,Urbano,,
102400038406410,Buenos Aires,Estatal,Urbano,,
102400038470410,Buenos Aires,Estatal,Rural,,
102400038598410,Buenos Aires,Privado,Urbano,58,
102400038726410,Buenos Aires,Privado,Urbano,58,
102400038790410,Buenos Aires,Estatal,Urbano,,
102400038854410,Buenos Aires,Estatal,Urbano,,
102400038918410,Buenos Aires,Estatal,Urbano,,
102400038982410,Buenos Aires,Privado,Urbano,52,
102400039110410,Buenos Aires,Estatal,Urbano,,
102400039174410,Buenos Aires,Privado,Urbano,,
102400039238410,Buenos Aires,Estatal,Urbano,,
102400039558410,Buenos Aires,Estatal,Urbano,8,
102400039622410,Buenos Aires,Privado,Urbano,51,
102400039680641,Río Negro,Estatal,Urbano,,
102400039814410,Buenos Aires,Estatal,Urbano,,
102400042240641,Salta,Estatal,Rural,,
102400042247041,Salta,Estatal,Rural,15,19
102400044800641,San Juan,Estatal,Rural,,
102400047360641,San Luis,Estatal,Urbano,,
102400049920641,Santa Cruz,Privado,Urbano,57,
102400052493441,Santa Fe,Estatal,Urbano,,
102400052499841,Santa Fe,Estatal,Urbano,,
102400052506241,Santa Fe,Estatal,Urbano,,
102400055047041,Santiago del Estero,Estatal,Rural,,
102400055053441,Santiago del Estero,Estatal,Urbano,,
102400057600641,Tucumán,Estatal,Rural,,
102400057613441,Tucumán,Privado,Urbano,32,
102400060160641,Tierra del Fuego,Estatal,Urbano,,
102400064006410,Catamarca,Estatal,Rural,,
102400089606410,Córdoba,Estatal,Urbano,,
102400089670410,Córdoba,Estatal,Rural,,
102400089734410,Córdoba,Estatal,Rural,,
102400089798410,Córdoba,Estatal,Urbano,,
102400089862410,Córdoba,Privado,Urbano,,
102400089926410,Córdoba,Estatal,Urbano,,
102406426880641,La Pampa,Estatal,Urbano,,
102406452499841,Santa Fe,Estatal,Rural,,
102412826880641,La Pampa,Estatal,Urbano,,
102432052499841,Santa Fe,Estatal,Rural,,
102770011180861,Chubut,Privado,Urbano,,
102770012905161,Entre Ríos,Privado,Urbano,,
102770012913761,Entre Ríos,Estatal,Urbano,19,
102770014620861,Formosa,Estatal,Urbano,,
102770018060861,La Pampa,Estatal,Rural,,
102770019780861,La Rioja,Estatal,Urbano,,
102770021500861,Mendoza,Estatal,Urbano,,
102770021505161,Mendoza,Estatal,Urbano,,
102770023220861,Misiones,Privado,Urbano,68,
102770023225161,Misiones,Estatal,Urbano,,
102770025851610,Buenos Aires,Estatal,Rural,,
102770025894610,Buenos Aires,Estatal,Rural,9,
102770026023610,Buenos Aires,Estatal,Rural,,
102770026066610,Buenos Aires,Privado,Urbano,,
102770026109610,Buenos Aires,Estatal,Urbano,,
102770026195610,Buenos Aires,Estatal,Urbano,,
102770026238610,Buenos Aires,Estatal,Urbano,55,
102770026281610,Buenos Aires,Estatal,Urbano,76,58
102770026324610,Buenos Aires,Privado,Urbano,,
102770026367610,Buenos Aires,Privado,Urbano,,
102770026410610,Buenos Aires,Privado,Urbano,,
102770026496610,Buenos Aires,Privado,Urbano,,
102770026539610,Buenos Aires,Estatal,Urbano,,
102770026660861,Río Negro,Estatal,Rural,,
102770026711610,Buenos Aires,Estatal,Urbano,,
102770026754610,Buenos Aires,Privado,Urbano,,
102770028380861,Salta,Estatal,Rural,,
102770030100861,San Juan,Estatal,Urbano,,
102770031820861,San Luis,Estatal,Rural,,
102770033540861,Santa Cruz,Estatal,Urbano,,
102770035260861,Santa Fe,Estatal,Urbano,,
102770035269461,Santa Fe,Estatal,Urbano,,
102770035273761,Santa Fe,Estatal,Urbano,,
102770036989461,Santiago del Estero,Estatal,Rural,12,
102770038700861,Tucumán,Estatal,Rural,,
102770038709461,Tucumán,Estatal,Urbano,11,
102770043008610,Catamarca,Estatal,Rural,,
102770060208610,Córdoba,Estatal,Rural,,
102770060251610,Córdoba,Estatal,Rural,,
102770060337610,Córdoba,Estatal,Urbano,175,
102770060380610,Córdoba,Estatal,Urbano,,
102770060423610,Córdoba,Privado,Urbano,,
102770077408610,Corrientes,Estatal,Rural,,
102770077451610,Corrientes,Privado,Urbano,,
102770086086102,Ciudad de Buenos Aires,Estatal,Urbano,,
102770086516102,Ciudad de Buenos Aires,Privado,Urbano,30,
102770086946102,Ciudad de Buenos Aires,Estatal,Urbano,81,
102770094608610,Chaco,Estatal,Rural,,
102770094651610,Chaco,Estatal,Rural,,
102770094694610,Chaco,Estatal,Urbano,22,
102774325894610,Buenos Aires,Estatal,Rural,,
102774335273761,Santa Fe,Estatal,Rural,,
102774336989461,Santiago del Estero,Estatal,Rural,4,
102774386086102,Ciudad de Buenos Aires,Estatal,Urbano,,
102774394651610,Chaco,Estatal,Rural,,
102774394694610,Chaco,Estatal,Rural,7,
